   6
TEST11 - MGO BULK                        E -8.2393470218007E+02 DE-1.4E-09(  8)
 MG  1.481590493648E+00  1.481590493648E+00  2.095285370000E+00  6.737409406974E-16  7.948746752089E-16 -6.620667061895E-03
 O   0.000000000000E+00  0.000000000000E+00  2.095285370000E+00 -5.919190651241E-16 -7.115116507946E-16  8.304418151084E-03
 MG  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -8.193696646615E-16 -9.432792731343E-16  0.000000000000E+00
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  6.557259135149E-16  7.765532243057E-16  1.776356839400E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.095285370000E+00  6.763430259114E-16  7.909715473879E-16  6.620667061895E-03
 O   0.000000000000E+00  0.000000000000E+00 -2.095285370000E+00 -5.919190651241E-16 -7.392672264102E-16 -8.304418151099E-03
   6
TEST11 - MGO BULK                        E -8.2393489748564E+02 DE 3.2E-10(  5)
 MG  1.481590493648E+00  1.481590493648E+00  2.096208023273E+00  8.194650018411E-16  8.166893218888E-16 -3.408530713841E-03
 O   0.000000000000E+00  0.000000000000E+00  2.104200703923E+00 -7.365208140222E-16 -7.377521575066E-16  4.165867946909E-03
 MG  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -8.190266509001E-16 -9.318399242239E-16  3.552713678801E-15
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  6.808938508779E-16  7.437441628854E-16  3.552713678801E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.096208023273E+00  8.281386192210E-16  8.279650244826E-16  3.408530713827E-03
 O   0.000000000000E+00  0.000000000000E+00 -2.104200703923E+00 -7.365208140222E-16 -7.352863005480E-16 -4.165867946909E-03
   6
TEST11 - MGO BULK                        E -8.2393496506593E+02 DE 6.4E-10(  5)
 MG  1.481590493648E+00  1.481590493648E+00  2.096578483421E+00  7.571670880908E-16  9.966625174760E-16 -7.129484636437E-05
 O   0.000000000000E+00  0.000000000000E+00  2.112702517017E+00 -6.740119510138E-16 -9.119663620732E-16  3.440056724457E-05
 MG  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -8.179655275980E-16 -9.418750725769E-16  3.552713678801E-15
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  6.516553381026E-16  7.724826771129E-16 -3.552713678801E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.096578483421E+00  7.432892156245E-16  1.010540389942E-15  7.129484636437E-05
 O   0.000000000000E+00  0.000000000000E+00 -2.112702517017E+00 -6.740119510138E-16 -9.119663620732E-16 -3.440056723036E-05
   6
TEST11 - MGO BULK                        E -8.2393496780483E+02 DE-4.3E-09(  6)
 MG  1.481590493648E+00  1.481590493648E+00  2.096443052148E+00  8.224613483624E-16  7.013246366944E-16 -4.443216617744E-05
 O   0.000000000000E+00  0.000000000000E+00  2.112657518282E+00 -7.374141307093E-16 -6.178186008051E-16  2.248939843241E-05
 MG  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -8.220821013366E-16 -9.376694425742E-16 -3.552713678801E-15
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  6.797432416460E-16  7.413606722067E-16  0.000000000000E+00
 MG  1.481590493648E+00  1.481590493648E+00 -2.096443052148E+00  8.215668815701E-16  7.104955185905E-16  4.443216617744E-05
 O   0.000000000000E+00  0.000000000000E+00 -2.112657518282E+00 -7.270057898535E-16 -6.077216542079E-16 -2.248939843241E-05
   6
TEST11 - MGO BULK                        E -8.2393470218006E+02 DE-1.4E-09(  8)
 MG  1.481590493648E+00  1.481590493648E+00  2.095285370000E+00  1.068032163077E-15  5.138597827204E-16 -6.620667062080E-03
 O   0.000000000000E+00  0.000000000000E+00  2.095285370000E+00 -6.621081095298E-16 -7.854690832522E-16  8.304418155078E-03
 MG  4.807014923064E-17  2.767392331968E-17  0.000000000000E+00 -1.017558874542E-15 -6.726956307512E-16  0.000000000000E+00
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  8.272892705417E-16  8.122052813744E-16  3.552713678801E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.095285370000E+00  7.803571555073E-16  8.870244561609E-16  6.620667062094E-03
 O   0.000000000000E+00 -9.614029846127E-17 -2.095285370000E+00 -8.933662446486E-16 -7.450139483229E-16 -8.304418155063E-03
   6
TEST11 - MGO BULK                        E -8.2393489748565E+02 DE 3.2E-10(  5)
 MG  1.481590493648E+00  1.481590493648E+00  2.096208023283E+00  1.084896912282E-15  4.123842303045E-16 -3.408530714296E-03
 O  -2.422494232075E-20  2.422494232075E-20  2.104200703936E+00 -6.914466044320E-16 -6.957425460587E-16  4.165867948856E-03
 MG  4.807560862916E-17  2.766846392115E-17  0.000000000000E+00 -1.017287630295E-15 -6.684004582734E-16 -3.552713678801E-15
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  8.512143642122E-16  8.374906004942E-16 -1.776356839400E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.096208023283E+00  8.224405989231E-16  7.653210798579E-16  3.408530714296E-03
 O   5.459398529344E-21 -9.614575785980E-17 -2.104200703936E+00 -9.227512227508E-16 -6.010718319147E-16 -4.165867948856E-03
   6
TEST11 - MGO BULK                        E -8.2393496506593E+02 DE 6.5E-10(  5)
 MG  1.481590493648E+00  1.481590493648E+00  2.096578483437E+00  9.600262079699E-16  6.759181231547E-16 -7.129484538382E-05
 O  -4.760893693668E-20  4.760893693668E-20  2.112702517040E+00 -5.945317628602E-16 -9.556636649546E-16  3.440056541137E-05
 MG  4.808053212363E-17  2.766354042669E-17  0.000000000000E+00 -1.015470058073E-15 -6.790182066880E-16  0.000000000000E+00
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  8.491401270803E-16  8.367688766226E-16  0.000000000000E+00
 MG  1.481590493648E+00  1.481590493648E+00 -2.096578483437E+00  6.455888861515E-16  9.972568231580E-16  7.129484536961E-05
 O   1.038289299026E-20 -9.615068135426E-17 -2.112702517040E+00 -8.259866826684E-16 -8.576519112964E-16 -3.440056541137E-05
   6
TEST11 - MGO BULK                        E -8.2393496780483E+02 DE-4.3E-09(  6)
 MG  1.481590493648E+00  1.481590493648E+00  2.096443052163E+00  9.880804663505E-16  5.549466369573E-16 -4.443216651850E-05
 O  -4.755923602025E-20  4.755923602025E-20  2.112657518300E+00 -6.149850015839E-16 -8.589331136986E-16  2.248939836136E-05
 MG  4.808043199752E-17  2.766364055280E-17  0.000000000000E+00 -1.020399998730E-15 -6.783907255625E-16 -3.552713678801E-15
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  8.106625277307E-16  8.538017662062E-16  3.552713678801E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.096443052163E+00  6.751046109469E-16  8.722987487669E-16  4.443216651850E-05
 O   1.028276688394E-20 -9.615058122816E-17 -2.112657518300E+00 -8.164515183609E-16 -7.303296701798E-16 -2.248939836136E-05
