   6
TEST11 - MGO BULK                        E -8.2393496781395E+02 DE-1.4E-09(  8)
 MG  1.481590493648E+00  1.481590493648E+00  2.096443052000E+00  8.191678583812E-16  9.403015717280E-16 -4.405813720609E-05
 O   0.000000000000E+00  0.000000000000E+00  2.112657518000E+00 -7.381460080061E-16 -8.552727508277E-16  2.286049725342E-05
 MG  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -8.154951213688E-16 -9.366305984339E-16  0.000000000000E+00
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  6.534514394315E-16  7.718129026702E-16  3.552713678801E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.096443052000E+00  8.182733915889E-16  9.348982923814E-16  4.405813719188E-05
 O   0.000000000000E+00  0.000000000000E+00 -2.112657518000E+00 -7.353271011706E-16 -8.679572132619E-16 -2.286049725342E-05
   6
TEST11 - MGO BULK                        E -8.2393496781396E+02 DE-1.5E-09(  8)
 MG  1.481590493648E+00  1.481590493648E+00  2.096443052000E+00  9.975443891548E-16  4.488234043579E-16 -4.405813720609E-05
 O   0.000000000000E+00  0.000000000000E+00  2.112657518000E+00 -6.273051836220E-16 -7.505238845494E-16  2.286050066402E-05
 MG  4.807014923064E-17  2.767392331968E-17  0.000000000000E+00 -1.016849999231E-15 -6.775178716269E-16 -3.552713678801E-15
 O   1.481590493648E+00  1.481590493648E+00  0.000000000000E+00  8.127705723919E-16  8.497451898450E-16 -3.552713678801E-15
 MG  1.481590493648E+00  1.481590493648E+00 -2.096443052000E+00  6.839545802107E-16  7.706752405027E-16  4.405813722030E-05
 O   0.000000000000E+00 -9.614029846127E-17 -2.112657518000E+00 -8.496522813155E-16 -6.390303888506E-16 -2.286050066402E-05
