# NKPT    30 NBND    35 NSPIN     2
# NPANEL     2
#      1   (0,0,0)/4
#     20   (2,0,2)/4
#     30   (2,1,3)/4
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     3
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/4"
@ XAXIS TICK     1,     0.41355
@ XAXIS TICKLABEL    1,"(2,0,2)/4"
@ XAXIS TICK     2,     0.62032
@ XAXIS TICKLABEL    2,"(2,1,3)/4"
@ WORLD      0.00000,        -1.4,     0.62032,         0.7
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.13359E+01 -0.13196E+01 -0.13196E+01 -0.13196E+01 -0.13113E+01 -0.13080E+01 -0.13080E+01 -0.49887E+00 -0.49887E+00 -0.49887E+00 -0.48728E+00 -0.47044E+00 -0.47044E+00 -0.47044E+00 -0.41618E+00 -0.41618E+00 -0.41618E+00 -0.40244E+00 -0.40244E+00 -0.40244E+00 -0.38041E+00 -0.38041E+00 -0.38001E+00 -0.38001E+00 -0.38001E+00 -0.37120E+00 -0.37120E+00 -0.37120E+00 -0.47609E-01  0.46285E+00  0.53920E+00  0.53920E+00  0.53920E+00  0.54123E+00  0.54123E+00
  0.21766E-01 -0.13359E+01 -0.13196E+01 -0.13196E+01 -0.13196E+01 -0.13113E+01 -0.13080E+01 -0.13080E+01 -0.49873E+00 -0.49873E+00 -0.49863E+00 -0.48716E+00 -0.47035E+00 -0.47031E+00 -0.47031E+00 -0.41623E+00 -0.41623E+00 -0.41613E+00 -0.40250E+00 -0.40247E+00 -0.40247E+00 -0.38064E+00 -0.38041E+00 -0.38019E+00 -0.38019E+00 -0.38003E+00 -0.37139E+00 -0.37125E+00 -0.37125E+00 -0.47329E-01  0.46307E+00  0.53449E+00  0.53449E+00  0.53927E+00  0.54067E+00  0.54598E+00
  0.43531E-01 -0.13358E+01 -0.13196E+01 -0.13196E+01 -0.13196E+01 -0.13114E+01 -0.13082E+01 -0.13080E+01 -0.49834E+00 -0.49834E+00 -0.49794E+00 -0.48679E+00 -0.47009E+00 -0.46995E+00 -0.46995E+00 -0.41638E+00 -0.41638E+00 -0.41597E+00 -0.40267E+00 -0.40256E+00 -0.40256E+00 -0.38133E+00 -0.38073E+00 -0.38073E+00 -0.38039E+00 -0.38006E+00 -0.37198E+00 -0.37143E+00 -0.37143E+00 -0.46490E-01  0.46373E+00  0.52900E+00  0.52900E+00  0.53899E+00  0.53950E+00  0.55160E+00
  0.65297E-01 -0.13356E+01 -0.13196E+01 -0.13195E+01 -0.13195E+01 -0.13114E+01 -0.13084E+01 -0.13081E+01 -0.49768E+00 -0.49768E+00 -0.49680E+00 -0.48618E+00 -0.46968E+00 -0.46939E+00 -0.46939E+00 -0.41666E+00 -0.41666E+00 -0.41571E+00 -0.40297E+00 -0.40271E+00 -0.40271E+00 -0.38246E+00 -0.38162E+00 -0.38162E+00 -0.38037E+00 -0.38013E+00 -0.37297E+00 -0.37174E+00 -0.37174E+00 -0.45105E-01  0.46481E+00  0.52365E+00  0.52365E+00  0.53631E+00  0.53994E+00  0.55721E+00
  0.87063E-01 -0.13354E+01 -0.13195E+01 -0.13195E+01 -0.13195E+01 -0.13116E+01 -0.13087E+01 -0.13081E+01 -0.49678E+00 -0.49678E+00 -0.49522E+00 -0.48532E+00 -0.46916E+00 -0.46865E+00 -0.46865E+00 -0.41709E+00 -0.41709E+00 -0.41535E+00 -0.40340E+00 -0.40289E+00 -0.40289E+00 -0.38403E+00 -0.38285E+00 -0.38285E+00 -0.38034E+00 -0.38021E+00 -0.37435E+00 -0.37217E+00 -0.37217E+00 -0.43195E-01  0.46625E+00  0.51854E+00  0.51854E+00  0.53277E+00  0.54067E+00  0.56279E+00
  0.10883E+00 -0.13350E+01 -0.13195E+01 -0.13194E+01 -0.13194E+01 -0.13118E+01 -0.13091E+01 -0.13082E+01 -0.49563E+00 -0.49563E+00 -0.49323E+00 -0.48423E+00 -0.46854E+00 -0.46775E+00 -0.46775E+00 -0.41772E+00 -0.41772E+00 -0.41492E+00 -0.40395E+00 -0.40308E+00 -0.40308E+00 -0.38601E+00 -0.38439E+00 -0.38439E+00 -0.38031E+00 -0.38030E+00 -0.37612E+00 -0.37273E+00 -0.37273E+00 -0.40794E-01  0.46796E+00  0.51373E+00  0.51373E+00  0.52862E+00  0.54176E+00  0.56836E+00
  0.13059E+00 -0.13347E+01 -0.13194E+01 -0.13194E+01 -0.13194E+01 -0.13120E+01 -0.13094E+01 -0.13082E+01 -0.49424E+00 -0.49424E+00 -0.49084E+00 -0.48290E+00 -0.46785E+00 -0.46669E+00 -0.46669E+00 -0.41857E+00 -0.41857E+00 -0.41442E+00 -0.40462E+00 -0.40326E+00 -0.40326E+00 -0.38837E+00 -0.38621E+00 -0.38621E+00 -0.38043E+00 -0.38026E+00 -0.37828E+00 -0.37340E+00 -0.37340E+00 -0.37948E-01  0.46971E+00  0.50925E+00  0.50925E+00  0.52421E+00  0.54328E+00  0.57395E+00
  0.15236E+00 -0.13342E+01 -0.13193E+01 -0.13193E+01 -0.13193E+01 -0.13124E+01 -0.13098E+01 -0.13083E+01 -0.49262E+00 -0.49262E+00 -0.48807E+00 -0.48133E+00 -0.46711E+00 -0.46548E+00 -0.46548E+00 -0.41967E+00 -0.41967E+00 -0.41386E+00 -0.40539E+00 -0.40342E+00 -0.40342E+00 -0.39108E+00 -0.38824E+00 -0.38824E+00 -0.38081E+00 -0.38056E+00 -0.38021E+00 -0.37417E+00 -0.37417E+00 -0.34718E-01  0.47118E+00  0.50514E+00  0.50514E+00  0.52002E+00  0.54527E+00  0.57957E+00
  0.17413E+00 -0.13337E+01 -0.13193E+01 -0.13192E+01 -0.13192E+01 -0.13130E+01 -0.13101E+01 -0.13083E+01 -0.49077E+00 -0.49077E+00 -0.48496E+00 -0.47955E+00 -0.46631E+00 -0.46415E+00 -0.46415E+00 -0.42102E+00 -0.42102E+00 -0.41327E+00 -0.40622E+00 -0.40362E+00 -0.40362E+00 -0.39410E+00 -0.39039E+00 -0.39039E+00 -0.38370E+00 -0.38070E+00 -0.38016E+00 -0.37503E+00 -0.37503E+00 -0.31176E-01  0.47186E+00  0.50138E+00  0.50138E+00  0.51670E+00  0.54774E+00  0.58523E+00
  0.19589E+00 -0.13331E+01 -0.13192E+01 -0.13191E+01 -0.13191E+01 -0.13136E+01 -0.13103E+01 -0.13084E+01 -0.48872E+00 -0.48872E+00 -0.48153E+00 -0.47754E+00 -0.46546E+00 -0.46270E+00 -0.46270E+00 -0.42260E+00 -0.42260E+00 -0.41266E+00 -0.40710E+00 -0.40396E+00 -0.40396E+00 -0.39739E+00 -0.39248E+00 -0.39248E+00 -0.38693E+00 -0.38084E+00 -0.38011E+00 -0.37597E+00 -0.37597E+00 -0.27405E-01  0.47118E+00  0.49799E+00  0.49799E+00  0.51497E+00  0.55065E+00  0.59093E+00
